Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Aage";.;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Aaron";6;5;4;6;14;14;7;14;23;27;14;23;20;18;17;19;30;37;26;33;26;27
"Aasmund";.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.;4;.;.
"Abbas";4;4;.;.;.;.;.;6;.;4;5;5;.;7;8;7;5;10;.;..;4;.
"Abdi";10;5;8;4;7;6;8;5;8;4;.;.;5;.;6;4;.;8;.;.;.;.
"Abdirahman";23;18;22;22;12;21;23;24;28;21;28;29;23;22;18;23;21;25;17;11;9;7
"Abdul";21;30;35;29;20;18;14;10;26;17;24;18;13;10;14;6;12;10;13;12;8;9
"Abdulkadir";6;.;4;.;.;4;.;.;..;.;.;.;.;.;.;.;.;.;.;.;.;.
"Abdullah";13;30;20;13;17;21;22;19;20;20;16;26;17;28;25;22;18;19;16;20;15;16
"Abdullahi";21;18;16;6;13;7;12;11;15;14;8;16;9;10;6;13;7;12;6;14;8;12
"Abdulrahman";5;9;.;.;5;6;8;6;8;5;10;11;8;7;7;.;5;6;5;.;4;.
"Abel";12;10;21;5;11;7;10;5;14;7;8;16;11;7;17;19;33;50;24;52;45;67
"Abraham";6;.;5;.;.;5;4;.;8;6;4;6;.;.;.;6;4;5;5;4;7;7
"Adam";23;36;44;49;63;53;54;77;98;95;95;111;120;132;133;131;146;151;149;193;189;184
"Adel";5;.;.;4;.;.;5;.;4;.;.;.;.;5;.;.;.;.;.;.;.;4
"Adem";.;.;.;.;.;.;.;5;.;4;.;6;.;4;8;..;6;7;5;8;7;6
"Adil";5;4;6;.;4;.;.;.;5;5;.;4;.;.;.;5;.;8;5;.;6;5
"Adnan";9;10;6;13;7;11;15;7;7;7;9;11;6;7;9;8;13;7;12;.;.;.
"Adrian";326;381;393;373;355;392;394;459;403;377;389;400;380;343;307;277;239;235;227;182;205;188
"Agnar";.;.;4;.;.;.;.;.;.;.;.;.;5;.;.;6;10;.;.;.;.;5
"Ahmad";35;47;43;35;36;41;36;45;41;42;42;37;24;44;39;36;26;28;33;22;17;22
"Ahmed";57;47;51;45;50;31;52;45;43;45;40;44;46;45;41;53;39;35;44;35;39;22
"Ahmet";4;.;.;5;.;4;.;4;6;4;4;.;..;7;8;..;.;.;5;.;.;4
"Aiden";.;.;.;.;.;.;5;.;4;7;6;11;11;12;14;20;11;21;20;22;15;16
"Ailo";.;.;.;.;.;.;7;.;.;11;14;15;17;37;44;46;29;31;38;33;28;35
"Aksel";57;59;74;49;62;74;111;120;129;151;145;233;258;237;221;253;298;300;314;258;267;256
"Alan";10;11;9;4;13;19;8;18;20;18;17;19;24;17;24;24;21;32;22;25;23;14
"Albert";22;21;23;28;27;41;46;31;54;51;64;58;60;84;72;71;75;96;98;98;96;116
"Alejandro";.;5;.;.;5;5;.;5;.;8;5;4;5;.;.;.;.;5;.;.;.;.
"Aleksandar";7;.;.;.;7;8;5;5;8;8;.;8;.;5;5;.;.;5;..;4;4;4
"Aleksander";214;255;211;201;191;180;162;175;204;202;154;164;150;139;136;115;106;137;103;115;99;100
"Aleksandr";.;.;.;.;.;.;4;.;.;.;.;.;..;.;.;.;5;.;4;.;.;.
"Aleksandrs";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Alex";14;20;12;13;15;15;22;23;29;30;30;42;34;36;29;23;31;35;30;20;32;26
"Alexander";271;255;273;284;255;259;290;305;317;294;272;327;255;251;266;256;190;203;212;180;176;118
"Alexandru";.;.;4;.;.;.;4;.;7;4;.;.;6;.;.;4;4;.;.;.;.;.
"Alf";21;29;17;15;13;18;13;7;8;9;9;12;10;13;11;8;16;14;14;15;16;14
"Alfred";13;16;8;17;22;27;27;32;37;43;40;50;62;77;80;106;125;151;144;147;175;157
"Ali";78;93;90;66;77;50;52;68;66;66;55;49;66;58;65;55;57;54;51;57;49;41
"Allan";4;6;.;7;.;.;.;.;5;.;11;6;7;4;.;.;4;.;5;.;.;.
"Alv";.;.;.;.;.;.;.;.;.;.;.;.;4;.;4;.;.;.;.;.;.;.
"Alvin";.;.;4;.;.;7;9;10;15;20;27;26;31;36;31;34;38;35;33;31;33;37
"Amanuel";5;6;.;4;.;5;.;.;.;.;.;.;..;.;.;.;5;.;.;6;4;.
"Amar";4;.;.;5;.;.;7;4;10;6;6;5;10;8;5;8;8;4;7;9;.;.
"Amer";.;4;4;5;.;.;5;..;.;.;.;.;.;.;.;.;.;.;.;.;4;.
"Amin";6;11;15;4;5;10;11;11;7;6;11;11;11;12;10;13;10;11;4;8;5;.
"Amir";20;26;17;17;17;20;21;16;22;21;24;33;34;34;27;29;29;30;39;47;36;30
"Ammar";8;4;6;6;7;9;4;5;6;7;6;5;4;7;5;5;5;4;9;.;.;5
"Amund";67;66;50;64;61;73;70;59;85;76;81;47;74;54;65;54;60;61;56;68;49;66
"Anas";10;9;6;7;10;12;13;13;10;18;21;22;14;18;13;21;23;19;28;20;21;11
"Anders";328;326;244;264;254;210;204;165;145;147;127;93;104;71;27;26;42;35;25;30;36;22
"Andre";140;112;112;111;100;80;80;70;58;47;45;32;40;39;19;21;21;19;16;13;9;13
"Andreas";602;631;550;552;508;511;497;444;457;378;406;368;324;302;227;221;199;173;182;167;118;99
"Andrei";7;.;.;.;5;.;.;.;5;.;.;.;4;.;.;.;.;4;.;5;.;.
"Andrej";.;.;.;.;.;.;..;.;.;.;4;7;4;.;5;5;.;4;5;.;11;6
"Andres";7;.;6;6;4;6;8;.;5;5;5;.;.;.;4;5;.;.;4;.;.;.
"Andrew";..;..;.;..;.;5;5;.;..;8;.;4;6;5;8;.;4;.;8;.;.;.
"Andris";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.
"Andrius";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andrzej";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Annar";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ansgar";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anthony";.;5;14;8;5;4;8;.;11;9;9;11;5;10;6;10;12;.;4;7;8;8
