Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Aagot";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Aase";4;.;7;6;.;.;.;.;.;.;4;.;5;.;.;.;..;.;5;.;4;4
"Aashild";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Aasta";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Abigail";.;4;5;5;.;5;4;.;..;7;.;10;10;7;14;17;10;10;13;15;14;15
"Ada";30;24;37;53;52;48;62;76;72;100;92;99;96;107;124;126;110;128;156;196;263;291
"Adele";17;15;11;24;36;30;48;45;41;43;60;50;47;59;78;69;45;45;35;26;39;37
"Adelen";.;.;.;.;.;4;5;.;.;7;.;.;9;7;6;50;38;49;51;40;32;21
"Adelina";.;6;.;.;7;.;.;.;.;6;5;5;.;5;7;6;10;12;9;14;9;6
"Adriana";6;.;5;6;12;6;10;7;9;20;18;24;22;21;24;19;18;17;20;15;17;12
"Agata";8;10;.;.;.;.;5;.;.;5;5;9;.;4;4;4;.;.;.;.;4;.
"Agathe";8;4;6;4;6;9;12;8;17;12;14;9;13;8;5;12;12;7;10;8;.;5
"Agne";4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Agnes";21;18;31;23;27;36;43;59;54;56;64;64;75;97;79;92;140;97;119;105;128;124
"Agnete";5;7;7;10;5;10;5;6;.;7;5;.;.;.;6;.;.;4;.;4;.;5
"Agnethe";6;7;.;10;6;4;4;.;.;4;8;12;4;.;.;.;.;6;.;.;6;.
"Agnieszka";5;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Aida";9;12;9;11;11;9;15;12;16;10;11;10;16;15;10;12;12;13;19;11;9;6
"Aileen";.;.;.;4;.;6;4;5;4;.;..;6;6;6;.;.;.;5;9;.;4;5
"Ailin";.;4;12;5;8;5;12;15;9;4;7;11;10;4;7;8;7;7;5;9;4;.
"Aina";27;28;24;22;19;15;16;12;12;8;6;12;8;7;15;11;7;15;.;8;8;7
"Aisha";18;17;21;22;17;14;25;29;16;25;22;36;33;34;35;37;45;30;49;38;36;24
"Alba";5;6;6;4;5;4;.;8;11;8;8;9;16;16;18;14;18;25;22;29;25;24
"Aleksandra";46;39;30;36;30;31;28;38;27;46;30;23;28;34;23;28;28;24;19;16;18;13
"Alette";4;6;9;6;5;8;7;7;9;7;11;7;8;4;9;7;12;7;12;6;7;4
"Alexandra";45;74;72;63;65;69;90;90;69;77;81;87;80;71;84;69;48;61;66;47;50;41
"Alfhild";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Alice";13;23;25;16;25;25;19;15;17;23;23;21;28;26;32;29;28;50;41;25;38;30
"Alicia";4;5;.;.;7;5;7;6;9;10;16;11;19;15;15;21;22;24;11;21;22;17
"Alicja";4;9;.;13;5;.;5;9;7;10;5;10;11;10;10;7;12;12;11;19;16;9
"Alida";12;9;17;24;13;19;14;27;24;26;29;29;43;38;29;36;28;48;32;29;30;31
"Alina";11;10;15;9;24;18;28;24;28;24;24;34;23;32;40;37;46;142;66;54;41;36
"Aline";6;.;.;5;7;4;.;4;10;.;9;5;7;9;15;14;12;19;14;11;10;9
"Alisa";.;.;7;.;10;8;7;..;8;15;5;10;15;11;9;19;8;19;9;14;11;11
"Alise";10;6;11;11;7;9;9;10;12;12;10;10;21;22;13;10;14;21;17;13;16;6
"Alma";14;12;9;16;13;39;34;42;57;65;96;134;137;162;159;186;163;191;209;243;214;239
